country,country_code,region,subregion,state,state_code,state_level,city,city_code,city_level,latitude,longitude,timezone
United States,USA,Northeast,"Middle Atlantic ",New York,NY,state,New York,,,40.71,-74.01,-4
United States,USA,South,South Atlantic,North Carolina,NC,state,Raleigh,,,,,
United States,USA,Midwest,West North Central,North Dakota,ND,state,Bismarck,,,,,
United States,USA,Midwest,East North Central,Ohio,OH,state,Columbus,,,,,
United States,USA,South,West South Central,Oklahoma,OK,state,Oklahoma City,,,,,
United States,USA,West,Pacific,Oregon,OR,state,Salem,,,,,
United States,USA,Northeast,"Middle Atlantic ",Pennsylvania,PA,state,Harrisburg,,,,,
United States,USA,Northeast,New England,Rhode Island,RI,state,Providence,,,,,
United States,USA,South,South Atlantic,South Carolina,SC,state,Columbia,,,,,
United States,USA,Midwest,West North Central,South Dakota,SD,state,Pierre,,,,,
United States,USA,South,East South Central,Tennessee,TN,state,Nashville,,,,,
United States,USA,South,West South Central,Texas,TX,state,Austin,,,,,
United States,USA,South,West South Central,Texas,TX,state,Dallas,,,32.78,-96.81,-5
United States,USA,West,Mountain,Utah,UT,state,Salt Lake City,,,,,
United States,USA,Northeast,New England,Vermont,VT,state,Montpelier,,,,,
United States,USA,South,South Atlantic,Virginia,VA,state,Richmond,,,,,
United States,USA,West,Pacific,Washington,WA,state,Olympia,,,,,
United States,USA,South,South Atlantic,West Virginia,WV,state,Charleston,,,,,
United States,USA,Midwest,East North Central,Wisconsin,WI,state,Madison,,,,,
United States,USA,West,Mountain,Wyoming,WY,state,Cheyenne,,,,,
United States,USA,,,American Samoa,AS,territory,Pago Pago,,,,,
United States,USA,,,Guam,GU,territory,Hagåtña,,,,,
United States,USA,,,Northern Mariana Islands,MP,territory,Saipan,,,,,
United States,USA,,,Puerto Rico,PR,territory,San Juan,,,,,
United States,USA,,,U.S. Virgin Islands,VI,territory,Charlotte Amalie,,,,,
United States,USA,South,South Atlantic,"Washington, D.C.",DC,federal district,"Washington, D.C.",,,,,
Vietnam,VNM,Northern,Northwest,Điện Biên,,province,,,,,,
Vietnam,VNM,Northern,Northwest,Hòa Bình,,province,,,,,,
Vietnam,VNM,Northern,Northwest,Lai Châu,,province,,,,,,
Vietnam,VNM,Northern,Northwest,Lào Cai,,province,,,,,,
Vietnam,VNM,Northern,Northwest,Sơn La,,province,,,,,,
Vietnam,VNM,Northern,Northwest,Yên Bái,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Bắc Giang,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Bắc Kạn,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Cao Bằng,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Hà Giang,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Lạng Sơn,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Phú Thọ,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Quảng Ninh,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Thái Nguyên,,province,,,,,,
Vietnam,VNM,Northern,Northeast,Tuyên Quang,,province,,,,,,
Vietnam,VNM,Northern,Red River Delta,Bắc Ninh,,province,,,,,,
